Airport Code,Location Code,Airport Name,City,Country,Timezone Offset (H),Timezone Offset (M),Timezone Offset (S),Latitude Direction,Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Direction,Longitude Degrees,Latitude,Longitude
KIND,IND,INDIANAPOLIS INTERNATIONAL,INDIANAPOLIS,USA,39,43,2,N,86,17,39,W,243,39.717,-86.294
KINJ,N/A,N/A,SANTA ANA,USA,0,0,0,U,0,0,0,U,0,0,0
KINK,INK,WINKLER CO,WINK,USA,31,46,46,N,103,12,4,W,860,31.779,-103.201
KINL,INL,FALLS INTERNATIONAL,INTERNATIONAL FALLS,USA,48,33,58,N,93,24,11,W,362,48.566,-93.403
KINS,INS,INDIAN SPRINGS AF AUX,INDIAN SPRINGS,USA,36,35,13,N,115,40,24,W,955,36.587,-115.673
KINT,INT,SMITH REYNOLDS,WINSTON-SALEM,USA,36,8,1,N,80,13,19,W,296,36.134,-80.222
KIPL,IPL,IMPERIAL CO,IMPERIAL,USA,32,50,3,N,115,34,43,W,-17,32.834,-115.579
KIPT,IPT,WILLIAMSPORT RGNL,WILLIAMSPORT,USA,41,14,31,N,76,55,16,W,162,41.242,-76.921
KISN,ISN,SLOULIN FLD INTERNATIONAL,WILLISTON,USA,48,10,40,N,103,38,32,W,605,48.178,-103.642
KISP,ISP,LONG ISLAND MAC ARTHUR,ISLIP,USA,40,47,42,N,73,6,0,W,31,40.795,-73.1
KJAN,JAN,JACKSON INTERNATIONAL,JACKSON,USA,32,18,40,N,90,4,33,W,106,32.311,-90.076
KJAX,JAX,JACKSONVILLE INTERNATIONAL,JACKSONVILLE,USA,30,29,38,N,81,41,16,W,10,30.494,-81.688
KJBR,JBR,JONESBORO MUNI,JONESBORO,USA,35,49,54,N,90,38,46,W,80,35.832,-90.646
KJFK,JFK,JOHN F KENNEDY INTERNATIONAL,NEW YORK,USA,40,38,23,N,73,46,44,W,4,40.64,-73.779
KJNT,N/A,N/A,HEMPSTED,USA,0,0,0,U,0,0,0,U,0,0,0
KJYD,N/A,N/A,MERIDIAN,USA,0,0,0,U,0,0,0,U,0,0,0
KLAN,LAN,CAPITAL CITY,LANSING,USA,42,46,43,N,84,35,14,W,263,42.779,-84.587
KLAS,LAS,MC CARRAN INTERNATIONAL,LAS VEGAS,USA,36,4,49,N,115,9,8,W,665,36.08,-115.152
KLAX,LAX,LOS ANGELES INTERNATIONAL,LOS ANGELES,USA,33,56,33,N,118,24,29,W,39,33.942,-118.408
KLBB,LBB,LUBBOCK INTERNATIONAL,LUBBOCK,USA,33,39,49,N,101,49,22,W,1001,33.664,-101.823
KLCH,LCH,LAKE CHARLES RGNL,LAKE CHARLES,USA,30,7,34,N,93,13,24,W,5,30.126,-93.223
KLCK,LCK,RICKENBACKER INTERNATIONAL,COLUMBUS,USA,39,48,49,N,82,55,40,W,227,39.814,-82.928
KLFI,LFI,LANGLEY AFB,HAMPTON,USA,37,4,58,N,76,21,37,W,4,37.083,-76.36
